ES916712879,"OPTICA TITANIUM AVDA. DE ANDALUCIA, 89   Sevilla 41100 Spain",37.239827,-6.0361574
ES916729240,"FARM-OPT ORTOP. RAFAEL RIVERO PLAZA DR. MARAÑON, 2   Madrid 28820 Spain",40.4264949,-3.5621967
ES916804429,"LEGAOPTICOS   BUTARQUE, Nº 5   Madrid 28911 Spain",40.3404893,-3.7606014
ES916811538,"OPTICA GETAFE CATALUÑA, 17 (LOCAL 42)   Madrid 28903 Spain",41.5911589,1.5208624
ES916825725,"MULTIVISIÓN AVDA. JUAN CARLOS I, S/N   Madrid 28905 Spain",40.288877,-3.7492663
ES916834683,"OPTICA EL BERCIAL ITALIA, 2   Madrid 28905 Spain",40.4167754,-3.7037902
ES916870585,"OPTICA LAS ALPUJARRAS ALPUJARRAS, 37   Madrid 28915 Spain",40.3324002,-3.7511268
ES916876995,"AUDIOVISIÓN   BARDENAS, 10   Madrid 28915 Spain",42.1872313,-1.4821482
ES916952894,"FARM. OPTICA MONTERO ESPINOSA AVDA. ARAGÓN, Nº 32   Madrid 28903 Spain",40.3125524,-3.7151706
ES916982542,"CENTRO OPTICO ALFONSO CAMPOS ALCORCON, 14 BIS, LOCAL 4   Madrid 28980 Spain",40.3468454,-3.8278443
ES917059614,"CENTRO OPTICO SAN IGNACIO OLIVA DE PLASENCIA, 1   Madrid 28044 Spain",40.3785008,-3.7795633
ES917109044,"CENTRO OPTICO MAREM DOCTOR MARTIN AREVALO, 5   Madrid 28021 Spain",40.3463459,-3.708034
ES917155083,"OPTICA-ORTOPEDIA IGMAR SAGUNTO, 20   Madrid 28223 Spain",39.6801121,-0.2784001
ES917195084,"OPTICA PARAISO VISUAL   OCAÑA, 207  LOCAL 1   Madrid 28047 Spain",40.3887437,-3.7523565
ES917251892,"MONTESERIN CENTRO OPTICO ALCALA, 209   Madrid 28028 Spain",40.4294255,-3.6666691
ES917334366,"CENTRO OPTICO LARRETA ENRIQUE LARRETA, 9   Madrid 28036 Spain",40.4676479,-3.686655
ES917388137,"OPTICA SANGENJO SANGENJO, 18 BIS   Madrid 28034 Spain",40.485147,-3.7001342
ES917390221,"FARMACIA-OPTICA ARENAS GINZO DE LIMIA, 51   Madrid 28034 Spain",40.4844836,-3.7084195
ES917397640,"CENTRO OPTICO DARMA FERMIN CABALLERO, 61   Madrid 28034 Spain",40.4822636,-3.7105891
ES917429285,"OPTICA LINCE ALCALA, 433   Madrid 28027 Spain",40.4384827,-3.6363462
ES917501571,"OPTICA PRINCIPE CARLOS PRINCIPE CARLOS, 50   Madrid 28050 Spain",40.4938945,-3.6556304
ES917545570,"ALPO VISION CASTILLO DE SIMANCAS, 18   Madrid 28037 Spain",40.4291826,-3.6268659
ES917600969,"TU VISION LAS ROSAS MARIA SEVILLA DIAGO, 26   Madrid 28022 Spain",40.4331194,-3.6071783
ES917630212,"FARMACIA-OPTICA SAN LORENZO AVDA. BARRANQUILLA, 7   Madrid 28033 Spain",40.4740257,-3.6397305
ES917960587,"OPTICA MARQUEZ ANOETA, 29   Madrid 28041 Spain",43.3013934,-1.973682
ES917974252,"CENTRO OPTICO DIAMANTE DIAMANTE, 3   Madrid 28021 Spain",40.3366601,-3.6978264
ES918081269,"CENTRO OPTICO PARADISE SAN VICENTE DE PAÚL, 28   Madrid 28342 Spain",40.2043408,-3.6876803
ES918423319,"CENTRO OPTICO COLMENAREJO   MADRID, 15 B   Madrid 28270 Spain",40.4334824,-3.7051735
ES918435101,"CENTRO OPTICO SAN AGUSTIN PLAZA JUAN CARLOS I, 1   Madrid 28750 Spain",40.6844082,-3.6268464
ES918444036,"OPTICA MIRAFLORES  JERONIMO SASTRE 1 LOCAL 4B   Madrid 28792 Spain",40.8137225,-3.7669284
ES918456745,"OPTICA DAURA PLAZA DE LA MARINA, 3   Madrid 28770 Spain",40.4206115,-3.71167
ES918462522,"OPTICA DAURA MOLINO DEL VIENTO, 5   Madrid 28770 Spain",40.665255,-3.7703298
ES918462815,"CENTRO OPTICO SERRANO C.C.EL MIRADOR,EDIF.F LOCAL7   Madrid 28770 Spain",40.6762828,-3.7232005
ES918559843,"OPTICA LOS OLIVOS   ESCOFINA, 60,CC. LOS OLIVOS   Madrid 28400 Spain",40.6267131,-4.0190136
ES918566895,"CENTRO OPTICO LENS LAS CARRETAS, 3   Madrid 28240 Spain",40.4164924,-3.7031724
ES918578737,"OPTICA VER BIEN DE LA IGLESIA, 17   Madrid 28411 Spain",40.4110591,-3.7122914
ES918625441,"OPTICA ALBERCHE JOSE NAVARRO MOREMES, Nº 2   Ávila 5270 Spain",,
ES918660495,"OPTICA SOTILLO AVDA. DE MADRID, 29 A   Ávila 5420 Spain",,
